freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,Y18,ED0-2,FI	317 	337 	334 	305 	287 	260 	266 	230 	183 	169 	162 	147 	132 	143 	119 	106 	87 
A,NR,Y18,ED0-2,HR	208 	202 	162 	152 	170 	131 	150 	166 	123 	140 	131 	125 	127 	105 	83 	86 	82 
A,NR,Y18,ED0-2,HU	1396 	1454 	1406 	1308 	1179 	1364 	1445 	1412 	1370 	1500 	1263 	1257 	1256 	1188 	1039 	867 	831 
A,NR,Y18,ED0-2,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	133 	125 	132 	116 	107 	120 	102 
A,NR,Y18,ED0-2,ME	48 	66 	70 	27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED0-2,MK	304 	314 	288 	307 	283 	271 	229 	204 	194 	178 	173 	176 	186 	200 	163 	: 	: 
A,NR,Y18,ED0-2,NO	173 	364 	380 	320 	282 	233 	223 	187 	182 	154 	107 	90 	75 	53 	: 	40 	: 
A,NR,Y18,ED0-2,PL	: 	4449 	4388 	3938 	3470 	3365 	3092 	3016 	3132 	2896 	2561 	2303 	2039 	1579 	1284 	1056 	848 
A,NR,Y18,ED0-2,PT	1170 	1077 	994 	892 	753 	694 	671 	585 	531 	472 	456 	421 	403 	328 	281 	306 	294 
A,NR,Y18,ED0-2,RO	5167 	5464 	4500 	3966 	3535 	3526 	2995 	3646 	3328 	3695 	3526 	3496 	3223 	3029 	3023 	2845 	2555 
A,NR,Y18,ED0-2,RS	: 	851 	840 	779 	734 	662 	613 	601 	489 	493 	449 	490 	467 	424 	388 	421 	448 
A,NR,Y18,ED0-2,SE	325 	350 	327 	354 	312 	267 	259 	260 	198 	179 	195 	184 	170 	130 	: 	115 	87 
A,NR,Y18,ED0-2,SI	6 	77 	74 	46 	59 	: 	42 	: 	: 	34 	36 	36 	40 	36 	: 	31 	41 
A,NR,Y18,ED0-2,SK	949 	928 	981 	947 	873 	827 	815 	857 	852 	895 	920 	882 	888 	800 	766 	776 	758 
A,NR,Y18,ED0-2,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED0-2,TR	: 	: 	: 	: 	26629 	27345 	25919 	24898 	23153 	21699 	19441 	17054 	14554 	12441 	: 	9704 	: 
A,NR,Y18,ED0-2,XK	: 	216 	: 	: 	206 	: 	: 	: 	115 	90 	103 	105 	86 	: 	: 	: 	: 
A,NR,Y18,ED3_4,AT	327 	306 	262 	224 	256 	212 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,AZ	: 	: 	: 	: 	: 	: 	6041 	5923 	5680 	5143 	4474 	4265 	4576 	: 	: 	: 	: 
A,NR,Y18,ED3_4,BA	: 	: 	: 	163 	: 	199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,BE	355 	339 	298 	293 	227 	223 	: 	169 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,CZ	220 	193 	183 	146 	116 	125 	89 	105 	84 	73 	92 	74 	55 	56 	51 	63 	62 
A,NR,Y18,ED3_4,DK	1 	0 	2 	3 	1 	1 	2 	0 	0 	5 	14 	5 	6 	0 	1 	: 	: 
A,NR,Y18,ED3_4,EE	12 	22 	10 	14 	13 	7 	: 	: 	6 	: 	6 	4 	13 	: 	: 	5 	2 
A,NR,Y18,ED3_4,EL	183 	205 	158 	165 	127 	138 	101 	39 	86 	0 	0 	69 	72 	3 	73 	73 	50 
A,NR,Y18,ED3_4,ES	259 	268 	222 	237 	183 	160 	126 	130 	117 	103 	116 	78 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,FI	38 	29 	35 	28 	34 	30 	23 	18 	26 	19 	23 	17 	15 	19 	33 	13 	16 
A,NR,Y18,ED3_4,HR	282 	282 	271 	245 	225 	194 	196 	170 	177 	153 	147 	102 	97 	75 	73 	73 	68 
A,NR,Y18,ED3_4,HU	218 	221 	213 	172 	153 	169 	173 	249 	228 	228 	213 	214 	207 	231 	227 	175 	200 
A,NR,Y18,ED3_4,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21 	11 	19 	13 	21 	1 	2 
A,NR,Y18,ED3_4,ME	46 	48 	47 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,MK	90 	62 	84 	78 	62 	72 	72 	79 	58 	57 	67 	43 	59 	55 	30 	: 	: 
A,NR,Y18,ED3_4,NO	186 	18 	16 	13 	10 	7 	12 	9 	0 	3 	6 	5 	4 	2 	: 	0 	: 
A,NR,Y18,ED3_4,PL	: 	1870 	1844 	1623 	1401 	1322 	1178 	936 	475 	368 	376 	364 	294 	258 	237 	282 	391 
A,NR,Y18,ED3_4,PT	172 	144 	179 	145 	155 	132 	110 	85 	109 	87 	85 	94 	111 	101 	77 	110 	123 
A,NR,Y18,ED3_4,RO	1492 	1520 	1324 	1126 	1018 	1056 	830 	1025 	1157 	1254 	1270 	1240 	1184 	1105 	1166 	1130 	1091 
A,NR,Y18,ED3_4,RS	: 	385 	370 	343 	336 	321 	288 	288 	250 	218 	172 	174 	187 	200 	190 	211 	193 
A,NR,Y18,ED3_4,SE	47 	54 	49 	46 	54 	44 	26 	26 	13 	17 	24 	18 	17 	13 	: 	11 	13 
A,NR,Y18,ED3_4,SI	3 	4 	1 	12 	5 	: 	7 	: 	: 	10 	8 	10 	9 	7 	: 	12 	14 
A,NR,Y18,ED3_4,SK	198 	189 	187 	195 	137 	120 	125 	124 	121 	113 	146 	102 	117 	128 	109 	100 	91 
A,NR,Y18,ED3_4,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED3_4,TR	: 	: 	: 	: 	680 	134 	14 	0 	952 	907 	1290 	1231 	838 	1068 	: 	1118 	: 
A,NR,Y18,ED3_4,XK	: 	134 	: 	: 	92 	: 	: 	: 	90 	86 	105 	102 	83 	: 	: 	: 	: 
A,NR,Y18,ED5-8,AT	0 	0 	1 	1 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,AZ	: 	: 	: 	: 	: 	: 	0 	38 	41 	46 	30 	34 	25 	: 	: 	: 	: 
A,NR,Y18,ED5-8,BA	: 	: 	: 	1 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,BE	0 	0 	0 	0 	10 	13 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,NR,Y18,ED5-8,EE	0 	0 	0 	1 	0 	1 	: 	: 	0 	: 	0 	0 	0 	: 	: 	0 	0 
A,NR,Y18,ED5-8,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 
A,NR,Y18,ED5-8,ES	13 	14 	12 	21 	25 	14 	13 	9 	7 	7 	3 	1 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,HR	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,ME	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,MK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
A,NR,Y18,ED5-8,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
A,NR,Y18,ED5-8,PL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,RS	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	: 	0 	0 
A,NR,Y18,ED5-8,SI	0 	0 	0 	0 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	: 	0 	0 
A,NR,Y18,ED5-8,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,Y18,ED5-8,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,ED5-8,TR	: 	: 	: 	: 	0 	0 	0 	0 	1 	1 	3 	1 	1 	1 	: 	: 	: 
A,NR,Y18,ED5-8,XK	: 	0 	: 	: 	0 	: 	: 	: 	0 	0 	0 	1 	0 	: 	: 	: 	: 
A,NR,Y18,NAP,AT	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,BA	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,BE	14 	18 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,CZ	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,NR,Y18,NAP,DK	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,EE	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,EL	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,ES	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,FI	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,NR,Y18,NAP,HR	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,HU	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,NR,Y18,NAP,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,NR,Y18,NAP,ME	0 	0 	0 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,MK	64 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,NO	12 	1 	3 	4 	2 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,Y18,NAP,PL	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,NR,Y18,NAP,PT	38 	23 	27 	17 	19 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,RO	0 	0 	0 	0 	513 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,RS	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,SE	0 	4 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,SI	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 
A,NR,Y18,NAP,SK	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
A,NR,Y18,NAP,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,TR	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,NAP,XK	: 	0 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	309 	279 	242 	191 
A,NR,Y18,TOTAL,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	410 	: 	: 	: 	: 	: 
A,NR,Y18,TOTAL,AT	760 	791 	711 	625 	644 	550 	: 	: 	: 	: 	: 	: 	: 	275 	239 	219 	243 
A,NR,Y18,TOTAL,AZ	: 	: 	: 	: 	: 	: 	6197 	6083 	5845 	5278 	4559 	4366 	4676 	: 	: 	: 	: 
A,NR,Y18,TOTAL,BA	: 	: 	: 	478 	: 	423 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,TOTAL,BE	947 	948 	861 	904 	822 	753 	: 	621 	: 	: 	: 	: 	: 	424 	376 	362 	379 
A,NR,Y18,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1387 	1376 	1362 	1363 
A,NR,Y18,TOTAL,BY	: 	: 	: 	: 	: 	: 	: 	: 	1233 	1024 	839 	: 	: 	: 	: 	: 	: 
A,NR,Y18,TOTAL,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82 	56 	74 	86 
A,NR,Y18,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47 	49 	60 	45 
A,NR,Y18,TOTAL,CZ	1010 	1019 	1099 	939 	818 	952 	801 	771 	752 	744 	770 	696 	644 	601 	551 	498 	482 
A,NR,Y18,TOTAL,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3412 	3049 	3021 	2978 
A,NR,Y18,TOTAL,DK	249 	268 	252 	215 	211 	231 	196 	149 	145 	176 	133 	120 	75 	72 	61 	43 	45 
A,NR,Y18,TOTAL,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13915 	12554 	12455 	12157 
A,NR,Y18,TOTAL,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14110 	12721 	12628 	12317 
A,NR,Y18,TOTAL,EE	328 	309 	223 	185 	151 	149 	: 	: 	111 	: 	75 	75 	77 	71 	49 	40 	39 
A,NR,Y18,TOTAL,EFTA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158 	126 	132 	151 
A,NR,Y18,TOTAL,EL	799 	873 	829 	806 	661 	574 	557 	535 	541 	623 	541 	565 	523 	560 	447 	454 	505 
A,NR,Y18,TOTAL,ES	4061 	4333 	3716 	3453 	2914 	2699 	2397 	2309 	2217 	2182 	2117 	2039 	: 	1695 	1502 	1515 	1510 
A,NR,Y18,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24071 	22155 	21340 	20533 
A,NR,Y18,TOTAL,FI	355 	366 	369 	333 	321 	290 	289 	248 	209 	188 	185 	164 	147 	162 	152 	134 	114 
A,NR,Y18,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3757 	3549 	3537 	3280 
A,NR,Y18,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	815 	696 	650 	564 
A,NR,Y18,TOTAL,HR	521 	514 	467 	421 	428 	360 	365 	356 	308 	314 	285 	245 	239 	195 	167 	173 	160 
A,NR,Y18,TOTAL,HU	1625 	1695 	1636 	1492 	1352 	1549 	1641 	1685 	1622 	1751 	1499 	1512 	1499 	1464 	1317 	1112 	1108 
A,NR,Y18,TOTAL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	224 	201 	147 	131 
A,NR,Y18,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11 	13 	5 	13 
A,NR,Y18,TOTAL,IT	2824 	3010 	2731 	2664 	2501 	2468 	2330 	2190 	2011 	1899 	1668 	1548 	: 	1200 	1061 	1037 	1058 
A,NR,Y18,TOTAL,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	0 	0 
A,NR,Y18,TOTAL,LT	: 	: 	: 	: 	: 	354 	347 	368 	338 	291 	244 	233 	180 	143 	115 	108 	93 
A,NR,Y18,TOTAL,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	10 	11 	12 
A,NR,Y18,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	156 	136 	151 	130 	128 	124 	106 
A,NR,Y18,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	895 	866 	790 	716 	614 	540 	543 	475 	452 p	390 
A,NR,Y18,TOTAL,ME	94 	114 	120 	86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	42 	51 	40 	40 
A,NR,Y18,TOTAL,MK	461 	383 	378 	392 	354 	345 	303 	288 	256 	237 	242 	224 	247 	258 	202 	180 	157 
A,NR,Y18,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28 	34 	26 	30 
A,NR,Y18,TOTAL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	328 	286 	292 	265 
A,NR,Y18,TOTAL,NO	384 	403 	424 	356 	309 	259 	254 	211 	197 	174 	137 	106 	93 	64 	57 	53 	52 
A,NR,Y18,TOTAL,PL	: 	6334 	6268 	5572 	4875 	4692 	4278 	3968 	3612 	3265 	2941 	2691 	2380 	1961 	1649 	1464 	1331 
A,NR,Y18,TOTAL,PT	1394 	1256 	1211 	1089 	957 	878 	788 	683 	652 	573 	573 	539 	551 	468 	387 	437 	441 
A,NR,Y18,TOTAL,RO	7348 	7777 	6451 	5678 	5066 	5108 	4595 	4777 	4634 	5075 	4961 	4913 	4569 	4282 	4318 	4079 	3772 
A,NR,Y18,TOTAL,RS	: 	1244 	1228 	1135 	1075 	993 	910 	896 	748 	721 	629 	671 	658 	630 	580 	638 	643 
A,NR,Y18,TOTAL,SE	451 	482 	448 	470 	441 	387 	359 	359 	287 	261 	301 	303 	252 	194 	162 	154 	115 
A,NR,Y18,TOTAL,SI	65 	81 	77 	58 	64 	: 	49 	: 	: 	44 	44 	46 	49 	43 	44 	43 	55 
A,NR,Y18,TOTAL,SK	1147 	1117 	1168 	1142 	1010 	947 	940 	981 	973 	1008 	1066 	984 	1005 	928 	876 	888 	873 
A,NR,Y18,TOTAL,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,TOTAL,TR	: 	: 	: 	: 	29310 	28737 	26795 	25581 	24372 	23070 	21153 	18696 	15756 	13827 	: 	11196 	: 
A,NR,Y18,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3460 	: 	: 
A,NR,Y18,TOTAL,XK	: 	361 	: 	: 	309 	: 	: 	: 	214 	186 	216 	213 	177 	: 	: 	: 	: 
A,NR,Y18,UNK,AT	56 	68 	79 	55 	63 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,AZ	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y18,UNK,BA	: 	: 	: 	5 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,BE	143 	176 	188 	178 	200 	162 	: 	117 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,CZ	2 	6 	16 	29 	16 	28 	42 	39 	94 	82 	81 	94 	79 	53 	62 	53 	56 
A,NR,Y18,UNK,DK	12 	15 	11 	7 	7 	12 	7 	7 	16 	26 	5 	5 	1 	1 	0 	: 	: 
A,NR,Y18,UNK,EE	0 	0 	0 	1 	0 	6 	: 	: 	0 	: 	0 	1 	0 	: 	: 	0 	1 
A,NR,Y18,UNK,EL	0 	0 	0 	0 	0 	0 	57 	44 	63 	82 	90 	109 	121 	138 	62 	71 	120 
A,NR,Y18,UNK,ES	382 	315 	259 	225 	256 	440 	463 	452 	480 	740 	794 	810 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	15 	11 
A,NR,Y18,UNK,HR	31 	30 	34 	24 	33 	35 	19 	20 	7 	19 	7 	18 	15 	15 	11 	14 	10 
A,NR,Y18,UNK,HU	11 	20 	17 	12 	20 	16 	23 	24 	24 	23 	23 	41 	36 	45 	51 	70 	77 
A,NR,Y18,UNK,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0 	0 	1 	0 	3 	2 
A,NR,Y18,UNK,ME	0 	0 	3 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,MK	3 	7 	6 	7 	9 	2 	2 	5 	4 	2 	2 	5 	2 	3 	9 	: 	: 
A,NR,Y18,UNK,NO	13 	20 	25 	19 	15 	15 	19 	15 	15 	17 	24 	11 	14 	9 	: 	13 	: 
A,NR,Y18,UNK,PL	: 	15 	36 	11 	4 	5 	8 	16 	5 	1 	4 	24 	47 	124 	128 	126 	92 
A,NR,Y18,UNK,PT	14 	12 	11 	35 	30 	34 	7 	13 	12 	14 	32 	24 	37 	39 	29 	21 	24 
A,NR,Y18,UNK,RO	689 	793 	627 	586 	0 	526 	770 	106 	149 	126 	165 	177 	162 	148 	129 	104 	126 
A,NR,Y18,UNK,RS	: 	8 	18 	13 	5 	10 	9 	7 	9 	10 	8 	7 	4 	6 	2 	6 	2 
A,NR,Y18,UNK,SE	79 	74 	72 	70 	75 	76 	74 	73 	76 	64 	82 	101 	65 	51 	: 	28 	15 
A,NR,Y18,UNK,SI	56 	0 	2 	0 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	: 	0 	0 
A,NR,Y18,UNK,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	12 	24 
A,NR,Y18,UNK,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y18,UNK,TR	: 	: 	: 	: 	2001 	1258 	862 	683 	266 	463 	419 	410 	363 	317 	: 	364 	: 
A,NR,Y18,UNK,XK	: 	11 	: 	: 	10 	: 	: 	: 	9 	10 	8 	5 	8 	: 	: 	: 	: 
A,NR,Y19,ED0-2,AT	552 	529 	553 	492 	391 	387 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,AZ	: 	: 	: 	: 	: 	: 	196 	206 	165 	133 	83 	98 	94 	: 	: 	: 	: 
A,NR,Y19,ED0-2,BA	: 	: 	: 	334 	: 	198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,BE	643 	628 	614 	568 	630 	576 	: 	480 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,CZ	928 	914 	957 	1000 	925 	834 	869 	824 	736 	701 	743 	730 	666 	638 	540 	522 	482 
A,NR,Y19,ED0-2,DK	458 	483 	431 	431 	385 	373 	372 	320 	285 	281 	224 	190 	192 	151 	107 	: 	: 
A,NR,Y19,ED0-2,EE	438 	306 	300 	207 	158 	159 	: 	: 	108 	: 	97 	106 	91 	: 	: 	60 	52 
A,NR,Y19,ED0-2,EL	916 	982 	959 	887 	747 	612 	459 	428 	433 	509 	457 	410 	444 	397 	361 	367 	309 
A,NR,Y19,ED0-2,ES	4668 	5128 	4519 	3905 	3349 	2877 	2569 	2383 	2282 	1880 	1800 	1524 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,FI	549 	508 	543 	551 	480 	452 	435 	426 	344 	307 	256 	216 	246 	198 	185 	125 	140 
A,NR,Y19,ED0-2,HR	175 	144 	142 	151 	127 	139 	139 	125 	117 	134 	140 	125 	136 	108 	102 	83 	89 
A,NR,Y19,ED0-2,HU	1453 	1463 	1433 	1386 	1337 	1428 	1529 	1505 	1470 	1527 	1439 	1286 	1228 	1317 	1132 	975 	942 
A,NR,Y19,ED0-2,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	183 	190 	169 	150 	135 	154 	140 
A,NR,Y19,ED0-2,ME	77 	74 	85 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,MK	362 	395 	401 	362 	329 	327 	269 	255 	223 	204 	187 	198 	211 	202 	184 	: 	: 
A,NR,Y19,ED0-2,NO	186 	580 	586 	545 	504 	400 	364 	328 	339 	266 	203 	164 	153 	115 	: 	111 	: 
A,NR,Y19,ED0-2,PL	: 	4091 	3998 	3755 	3277 	3272 	2917 	2681 	2721 	2700 	2464 	2172 	2064 	1666 	1350 	1042 	796 
A,NR,Y19,ED0-2,PT	1408 	1336 	1277 	1191 	1133 	1012 	853 	731 	667 	643 	642 	580 	572 	487 	397 	396 	379 
A,NR,Y19,ED0-2,RO	5727 	5698 	5521 	4311 	3959 	3584 	3072 	3691 	3473 	3479 	3512 	3259 	3306 	3213 	3094 	2839 	2669 
A,NR,Y19,ED0-2,RS	: 	928 	836 	747 	699 	724 	616 	572 	516 	496 	481 	454 	439 	433 	413 	402 	412 
A,NR,Y19,ED0-2,SE	480 	514 	472 	446 	481 	435 	436 	395 	350 	335 	322 	303 	255 	251 	: 	192 	167 
A,NR,Y19,ED0-2,SI	14 	114 	35 	83 	77 	: 	78 	: 	: 	57 	52 	49 	63 	56 	: 	42 	39 
A,NR,Y19,ED0-2,SK	909 	931 	948 	1009 	942 	927 	816 	825 	823 	884 	915 	931 	895 	880 	816 	769 	770 
A,NR,Y19,ED0-2,SM	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED0-2,TR	: 	: 	: 	: 	33951 	36141 	38322 	38319 	32164 	31060 	28067 	24250 	22508 	19223 	: 	13837 	: 
A,NR,Y19,ED0-2,XK	: 	364 	: 	: 	370 	: 	: 	: 	161 	143 	145 	111 	101 	: 	: 	: 	: 
A,NR,Y19,ED3_4,AT	632 	618 	572 	576 	502 	476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y19,ED3_4,AZ	: 	: 	: 	: 	: 	: 	9767 	9557 	9003 	8545 	6941 	6554 	6985 	: 	: 	: 	: 
A,NR,Y19,ED3_4,BA	: 	: 	: 	599 	: 	492 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
