freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,ED3_4,EE	7658 	7764 	7363 	7179 	5819 	5349 	: 	: 	5441 	: 	5167 	5442 	5271 	: 	: 	4071 	3827 
A,NR,TOTAL,ED3_4,EL	56424 	59911 	59284 	56777 	51063 	49276 	40233 	37597 	36983 	37965 	35557 	34296 	30417 	29978 	30060 	26921 	24363 
A,NR,TOTAL,ED3_4,ES	135490 	145630 	136945 	131700 	127053 	118861 	109230 	109459 	102790 	75304 	68342 	61214 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED3_4,FI	23572 	23565 	23898 	24219 	23851 	23729 	23468 	23004 	22400 	21232 	20222 	19155 	18259 	18037 	18894 	16715 	15816 
A,NR,TOTAL,ED3_4,HR	28129 	29104 	29295 	27585 	25439 	25381 	23987 	23459 	21543 	20821 	19927 	18575 	17253 	16729 	16793 	15373 	14315 
A,NR,TOTAL,ED3_4,HU	49591 	48909 	46339 	41484 	39533 	40167 	38581 	40112 	41169 	41133 	40302 	39246 	38969 	39808 	40064 	38168 	36358 
A,NR,TOTAL,ED3_4,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7229 	6820 	6413 	5991 	5782 	5475 	4943 
A,NR,TOTAL,ED3_4,ME	4846 	5073 	5056 	1713 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED3_4,MK	8703 	8736 	8973 	9027 	8102 	8374 	7983 	8555 	8434 	8373 	7936 	7823 	7438 	7208 	7173 	: 	: 
A,NR,TOTAL,ED3_4,NO	24382 	17101 	16432 	15502 	15877 	15423 	14177 	13793 	13294 	12836 	11872 	11045 	11100 	10621 	: 	10192 	: 
A,NR,TOTAL,ED3_4,PL	: 	232407 	222391 	209280 	187822 	179403 	165936 	162336 	155457 	158282 	169589 	162578 	153073 	140520 	126402 	116379 	104017 
A,NR,TOTAL,ED3_4,PT	26462 	27811 	27511 	29180 	28651 	26505 	24555 	24491 	26165 	26979 	26750 	26702 	26879 	28139 	26619 	28866 	31452 
A,NR,TOTAL,ED3_4,RO	86124 	76802 	82550 	67985 	61072 	67428 	58012 	71391 	73975 	75326 	76870 	74439 	71162 	71146 	73904 	73301 	65084 
A,NR,TOTAL,ED3_4,RS	: 	40210 	39943 	38173 	36050 	36310 	34554 	34399 	34324 	32943 	31387 	30395 	30242 	28925 	28543 	29065 	28253 
A,NR,TOTAL,ED3_4,RU	: 	: 	: 	: 	: 	: 	262006 	265872 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED3_4,SE	47897 	47203 	46962 	47733 	45965 	46138 	41551 	42025 	41632 	42071 	40752 	40722 	39852 	38753 	: 	35098 	32882 
